property_type|rent_type|location,price,n_rooms,n_bath,surface,details,url,metrocuadrado_index
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",$3.500.000,2,3,90.0 m2,"Lindo apartamento amoblado de 90 m2, 2 habitaciones cada una con baño, sala comedor, estudio, cocina abierta, zona de lavandería, 2 garajes, depósito y terraza con BBQ. El valor del canon incluye la administración.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-2-habitaciones-3-banos-2-garajes/4685-1459772,57.4
"Apartamento en Arriendo, CAOBOS SALAZAR Bogotá D.C..",$1.450.000,2,3,90.0 m2,"SALA COMEDOR, ESTUDIO, DOS ALCOBA LA PRINCIPAL CON BAÑO, BAÑO AUXILIAR, BAÑO SOCIAL, COCINA INTEGRAL, ZONA DE ROPAS, TERRAZA,  GARAJE DOBLE, DOS DEPÓSITOS.
EL CONJUNTO CUENTA  CON CANCHA MULTIPLE. SQUASH Y GUARDERIA.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-caobos-salazar-2-habitaciones-3-banos-2-garajes/508-1449743,45.8
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$4.200.000,2,2,65.0 m2,"3832-Lindo y moderno apartamento amoblado, excelentes acabados, muy buena zona del Chico, ubicado en Edificio con club house, servicios de agua, luz, gas, internet, tv, telefonia local. Para mayor informacion comunicarse con Claudia Sarmiento",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-2-habitaciones-2-banos/603-M1610362,70.5
"Apartamento en Arriendo, EL CHICO Bogotá D.C..",$5.000.000,2,3,85.0 m2,"Apartamento para arriendo amoblado de 85 m2 en Chico de dos alcobas cada una con baño y terraza grande. Sala comedor, cocina abierta con estufa eléctrica, baño social, pisos en laminado, garaje y depósito. Edificio con terraza comunal, zona de bbq, sala de negocios, lavandería comunal, caldera y parqueaderos de visitantes. El canon incluye Internet y tv por cable.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-chico-2-habitaciones-3-banos-1-garajes/920-42144178,69.2
"Apartamento en Arriendo, CHICO NORTE II SECTOR Bogotá D.C..",$6.000.000,2,2,100.0 m2,"Hermoso apartamento  amoblado, sala comedor, cocina cerrada, zona de ropas, 1 balcón, deposito, lindos acabadas. 43",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-sector-2-habitaciones-2-banos-2-garajes/800-1419203,74.4
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$3.950.000,2,2,95.0 m2,"Moderno apartamento amoblado para arriendo en Santa Barbara Central de dos alcobas con terraza y balcón. Sala comedor, cocina abierta y zona de lavandería. Exterior muy iluminado, se arrienda para estadías anuales. El valor del canon incluye administración y servicios públicos.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-2-habitaciones-2-banos-1-garajes/920-42144075,59.2
"Apartamento en Arriendo, EL NOGAL Bogotá D.C..",$3.000.000,2,3,90.0 m2,"Acogedor apartamento recien remodelado en una zona exclusiva, segura, frente al parque, cerca de los centros comerciales mas exclusivos de Bogota, en el corazon del Centro Financiero, amoblado y equipado con todas las comodidades; solo resta pasarse a disfrutarlo. Son 88 metros con un amplio salon comedor con chimenea, una alcoba principal y baño con tina, una segunda habitacion con baño privado, baño social, cocina integral, comedor auxiliar, zona de lavanderia equipada y un parqueadero.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-nogal-2-habitaciones-3-banos-1-garajes/MC1419775,56.4
"Apartamento en Arriendo, CHICO Bogotá D.C..",$4.500.000,2,2,69.0 m2,"INFORMES MARGARITA VALDEBLANQUEZ CELULAR TRES CATORCE TRES SESENTA CINCUENTA Y CUATRO TREINTA Y DOS, SE VENDE O SE ARRIENDA EXCELENTE APARTAMENTO EN EL VIRREY  7 PISO PENT HOUSE INTERIOR BUENA VISTA DOS ALCOBAS DOS BAÑOS SALA COMEDOR COCINA ABIERTA AREA 69 MTS UN PARQUEADERO EXCELENTE EDIFICIO MAS INFORMACION AL CELULAR ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-2-banos-1-garajes/398-1359591,74.6
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",$2.500.000,2,2,75.0 m2,"Apartamento amoblado dotado con menaje sabanas lavadora secadora nevera, dos hab dos baños, Contacto Gonzalo Moreno tres cinco cero cinco cinco dos cinco uno seis ocho",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-2-habitaciones-2-banos-2-garajes/815-1334051,56.8
"Apartamento en Venta Y Arriendo, RINCON DEL CHICO Bogotá D.C..",$3.000.000,2,3,87.0 m2,"LINDO APTO VENTA   Y ARRIENDO  3 AÑOS DOS ALCOBAS  DOS BAÑOS MAS SOCIAL SALA COMEDOR LINDA COCINA ABIERTA, LAVANDERÍA INDEPEN, PISOS EN MADERA, TRES BALCONES, ENCORTINADO,   PLANTA, CALDERA, SALON COMUNAL TERRAZA COMUNAL, PARQUEADERO  VISITANTES 93 METROS  DOS GARAJES EN LINEA Y DEPOSITO. PISO  3 ESTA ARRENDADO BIEN. PUEDE SER PARA INVERSIÓN O EN ARRIENDO LO CITA PREVIA",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-rincon-del-chico-2-habitaciones-3-banos-2-garajes/2238-1308944,46.9
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$3.000.000,2,2,75.0 m2,"Hermoso apartamento amoblado, mobiliario moderno, tiene 75 mtrs, 2 alcobas, dos garajes y un deposito, idela ejecutivo, multinacional.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-2-habitaciones-2-banos-2-garajes/898-1280962,48.3
"Apartamento en Venta Y Arriendo, SANTA BIBIANA Bogotá D.C..",$2.900.000,2,2,72.0 m2,"EDIFICIO MUY MODERNO, CON LOBBY MUY BONITO, CUARTO PRINCIPAL CON BAÑO,  OTRO BAÑO COMPLETO MUY AMPLIO, VISTA A LAS MONTAÑAS, MUY ILUMINADO.  PATIO DE ROPAS INDEPENDIENTE. CON BLOCKOUT Y PANEL JAPONES EN LA SALA.
",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-santa-bibiana-2-habitaciones-2-banos-1-garajes/2941-1259230,52.5
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",$4.500.000,2,2,69.0 m2,"Hermoso y Confortable Apartamento Amoblado de dos habitaciones en Arriendo, Ubicado en muy buen sector de santa barbara, a pocas cuadras de parques, centro comercial, vías principales, muy tranquilo, luz natural, amplio, moderno, finos acabados y muebles, totalmente dotado. Apto para Cortas y largas estadías. Valor incluidos servicios y admón. Disponible a partir del 25 de agosto. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-2-habitaciones-2-banos-1-garajes/438-1257334,77.9
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$5.500.000,2,2,97.0 m2,"Espectacular apartamento amoblado, cocina abierta , zona de ropas, sala comedor, 2 habitaciones, 2 baños, hermoso loft se arrienda completamente amoblado llamanos ya a solo media cuadra del parque de la 93 super zona super precio.1",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-2-banos-1-garajes/800-1200063,72.0
"Apartamento en Arriendo, PALERMO Bogotá D.C..",$1.800.000,2,2,63.0 m2,APARTAMENTO  AMOBLADO  O CUENTA CON DOS HABITACIONES  DOS BAÑOS SALA COMEDOR  COCINA  INTEGRAL ABIERTA  SALA COMEDOR  CON CHIMENEA UN PARQUEADERO CUBIERTO   UBICADO CERCA ALA ESTACIÓN  CALLE CUARENTA Y CINCO,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-palermo-2-habitaciones-2-banos-1-garajes/393-1032,44.5
"Apartamento en Venta Y Arriendo, CONTADOR Bogotá D.C..",$2.100.000,2,2,75.0 m2,"Moderno e iluminado apto interior, con Balcón. 4 años de construido. Lavandería independiente. Estudio integrado a zona social. Cocina abierta. Edificio con parqueo visitantes y terraza BBQ. Cerca U. El Bosque. Asesora Carmen Gutiérrez 321 20 tres 7609.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-contador-2-habitaciones-2-banos-1-garajes/883-1106816,58.9
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$5.500.000,2,3,100.0 m2,"SI BUSCAS UN APARTAMENTO AMOBLADO EN UN BUEN SECTOR , CON LINDOS MUEBLES Y EN EXCELENTE PRECIO NO DUDES EN LLAMARNOS PARA QUE CONOZCAS ESTE LINDO APARTAMENTO UBICADO EN CHICO RESERVADO, ACCESO A UNO DE LAS MEJORES ZONAS DE BOGOTA",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-3-banos-2-garajes/800-1057521,68.1
"Apartamento en Venta Y Arriendo, SANTA BIBIANA Bogotá D.C..",$3.700.000,2,3,70.0 m2,"Hermoso y confortable Apartamento Amoblado para Venta o Arriendo, Ubicado en Buen sector de Santa Barbara, cerca a vía principal, parques y centro comercial, Amplios espacios, luz natural, totalmente dotado, balcón, estudio, lavadora, secadora, 2 garajes. Valor canon incluidos servicios y Admón.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-santa-bibiana-2-habitaciones-3-banos-2-garajes/438-1037113,64.7
"Apartamento en Arriendo, QUINTA CAMACHO Bogotá D.C..",$3.290.000,2,2,99.0 m2,amoblado disponible por meses administracion y servicios vale 700 mil mensual,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-quinta-camacho-2-habitaciones-2-banos-1-garajes/3208-1024787,54.6
"Apartamento en Arriendo, BOSQUE CALDERON Bogotá D.C..",$2.000.000,2,2,70.0 m2,APARTAMENTO  DOS ALCOBAS. AMOBLADO. La administración tiene descuento si se cancela antes del 15 de cada mes. DISPONIBLE A PARTIR DEL 20 DE SEPTIEMBRE.,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/2251-976878,72.3
"Apartamento en Arriendo, LA CAROLINA Bogotá D.C..",$3.000.000,2,2,85.0 m2,"HERMOSO APARTAMENTO AMOBLADO, TOTALMENTE ILUMINADO EXELENTE UBICACION, CUENTA CON DOS HABITACIONES, DOS BAÑOS, CHIMENEA, UN GARAJE.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-carolina-2-habitaciones-2-banos-1-garajes/22-980716,59.0
"Apartamento en Arriendo, LA CAROLINA Bogotá D.C..",$4.500.000,2,2,73.0 m2,"Confortable Apartamento Amoblado para arriendo, ubicado en hermoso sector de La Carolina, Amplios espacios, Luz natural, a pocas cuadras de centro comercial y parques. Edificio con Gimnasio y sauna. Excelente para cortas y largas estadias. Valor incluidos servicios y Admón.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-carolina-2-habitaciones-2-banos-1-garajes/438-953669,80.9
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$4.000.000,2,2,69.0 m2,"Acogedor apartamento, AMOBLADO, buena iluminación, 42 Mts de TERRAZA con BBQ. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-2-habitaciones-2-banos-2-garajes/851-939480,67.3
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",$3.790.000,2,2,90.0 m2,amoblado disponible por meses administracion de 700 mil incluye todos los servicios,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-2-habitaciones-2-banos-1-garajes/3208-947075,66.3
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",$4.300.000,2,2,75.0 m2,AMOBLADO DISPONIBLE POR MESES. Valor admin 700 mil pesos los cuales incluyed todos los servicios. Hermoso apartamento para estrenar con balcon en un sector exclusiva.,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-2-habitaciones-2-banos-1-garajes/3208-930601,79.3
"Apartamento en Arriendo, RINCON DEL CHICO Bogotá D.C..",$2.800.000,2,3,93.0 m2,"ARRIENDO  O VENTA,   LINDO, MAGNÍFICOS ACABADOS  EDIFICIO NUEVO, 88  METROS MAS 3 BALCONES,  2 ALCOBAS, LA PRINCIPAL CON BAÑO Y VESTIR y CLOSET  OTRO BAÑO PARA LA SEGUNDA ALCOBA  Y BAÑO SOCIAL  SALÓN-,COMEDOR,   COCINA ABIERTA,  LAVANDERÍA  INDEPENDIENTE, DOS GARAJES  EN LINEA   EDIFICIO CON PLANTA Y CALDERA, SALÓN COMUNAL,  PARQUEADEROS DE VISITANTES,   DISPONIBLE YA.      ligia isaza",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-rincon-del-chico-2-habitaciones-3-banos-2-garajes/2238-868165,63.6
"Apartamento en Arriendo, PLENITUD Bogotá D.C..",$4.800.000,2,3,92.0 m2,"Excelente oportunidad hermoso apartamento amoblado para arriendo, remodelado, moderno, luz natural, amplios espacios, ubicado en tranquilo, seguro y bello condominio plenitud, continuo al hotel la fontana. Rodeado de amplias y hermosas zonas verdes. A tan solo unas cuadras de centro comercial, parques y vías principales. Buenas y cómodas rutas de acceso. Conjunto con Gimnasio, capilla, restaurantes, parque para niños. Valor incluidos servicios y Admón.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-plenitud-2-habitaciones-3-banos-1-garajes/438-853080,78.1
"Apartamento en Arriendo, CHICO Bogotá D.C..",$3.790.000,2,2,90.0 m2,"2 alcobas, estudio, balcon, zona de ropa, secadora, nevecon. Precio no incluye la administracion, servicios publicos, internet, telefono, television los cuales tienen un valor de 700 mil pesos mensual. 1 cuadra de la clinica de la mujer y el parque virrey",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-2-banos-1-garajes/3208-852789,72.7
"Apartamento en Arriendo, EMAUS Bogotá D.C..",$5.500.000,2,2,95.0 m2,"Hermoso apartamento Pent House, AMOBLADO, 2 alcobas, 30 metros de terraza, zona de lavanderia, Depsito.  Planta eléctrica, caldera, parqueaderos para visitantes, lavanderia comunal.  JP",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-emaus-2-habitaciones-2-banos-2-garajes/851-835494,67.5
"Apartamento en Arriendo, ANTIGUO COUNTRY Bogotá D.C..",$2.990.000,2,2,70.0 m2,"Super apartamento AMOBLADO, ubicado cerca Parque Virrey, transmilenio, Andino y Zona T. Cuenta con dos alcobas dobles, 1 baño con ducha, 1 baño social, sala comedor y cocina abierta completamente dotado. Parqueadero, lavadora, balcon. Disponible por meses, incluye servicio de tv internet y telefono. Ref EVA",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-antiguo-country-2-habitaciones-2-banos-1-garajes/3208-832064,58.9
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$2.790.000,2,2,80.0 m2,"disponible por meses, amoblado, 600 mil por servicios y administracion",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-2-habitaciones-2-banos-1-garajes/3208-829609,62.0
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",$1.990.000,2,2,80.0 m2,"Apartamento amoblado ultimo piso disponible por meses, excelente ubicacion frente Santa Fe y 3 cuadras a Usaquen. remodelado por completo baños y cocina integral dotado. No hay ascensor. Ref MONICA II",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-2-habitaciones-2-banos-1-garajes/3208-829583,37.4
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$2.900.000,2,2,90.0 m2,"Super apartamento amoblado disponible por meses a lado de la parque 93. Sala comedor, cocina integral dotado, lavadora, 2 alcobas amplias, 2 baños completos. servicio de television y internet. Illuminado. Ref NANCY",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-2-banos-1-garajes/3208-829589,61.8
"Apartamento en Arriendo, CHICO Bogotá D.C..",$4.990.000,2,2,90.0 m2,"disponible por meses, subir 600 mil por los servicios",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-2-banos-1-garajes/3208-829571,57.6
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$5.000.000,2,2,90.0 m2,"LINDO APARTAMENTO AMOBLADO, SUPERMODERNO, EXCELNETE DOTACION, DOS ALCOBAS, DOS BAÑOS, CCOINA ABIERTA, ZONA DE LAVANDERIA INDEPENDIENTE, EDIFICIO CON SALON COMUNAL, SALA DE JUNTAS, TEATRINO, GIMNASIO, SALAS DE REUNIOS, BAR, EXCLUISVA UBICACION",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-2-banos-2-garajes/990-775823,63.4
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$2.990.000,2,3,100.0 m2,"Hermoso apartamento amoblado ubicado frente de Compensar en el barrio exclusivo de Chico. Disponible por temporadas cortas, completamente dotado, cocina integral, 2 alcobas, tv, tel, internet, lavadora, parqueadero. Remodelado. Ref IRIS",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-2-habitaciones-3-banos-1-garajes/3208-768024,60.3
"Apartamento en Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",$3.390.000,2,2,70.0 m2,Amoblado disponible por tempradas cortas renta incluye todos los servicios.,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-2-habitaciones-2-banos-1-garajes/3208-768027,67.6
"Apartamento en Arriendo, MOLINOS NORTE Bogotá D.C..",$2.690.000,2,2,80.0 m2,"Lindo apartamento amoblado cerca Hacienda Santa Barbara y Unicentro. Pisos en madera, 2 alcobas y 2 baños completos, hermosa sala comedor, pequeño estudio, cocina integral con calentador a gas con lavadora. Parqueadero. Disponible por meses. Ref ALBA",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-2-habitaciones-2-banos-1-garajes/3208-763593,61.6
"Apartamento en Arriendo, PLENITUD Bogotá D.C..",$3.800.000,2,2,72.0 m2,"Arriendo acogedor Apartamento amoblado, en exclusivo condominio Plenitud, amplios espacios, Luz Natural, Gimnasio, Capilla, Restaurantes, Salones Sociales, Amplias Zonas Verdes y Parque Para Niños, a tan solo unas cuadras  de centro comercial, parques y vías principales. Buenas y cómodas rutas de acceso. Valor incluidos servicios y Admón.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-plenitud-2-habitaciones-2-banos-1-garajes/438-757251,65.0
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",$3.500.000,2,2,78.0 m2,"EXELENTE SECTOR CERCA A TRNSMILENIO,PARQUES.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-2-habitaciones-2-banos-2-garajes/2996-1039549,55.3
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$2.330.000,2,2,74.0 m2,"Hermosisimo apartamento, en el exclusivo sector de Chico Reservado,   habitacion, terraza, exterior, baño social, 2 Gjes independientes, terraza comunal, Garajes de visitantes. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-2-habitaciones-2-banos-2-garajes/851-702892,61.7
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$4.500.000,2,2,80.0 m2,Hermoso apartamento con chimenea y deposito. El canon de arrendamiento incluye la administracion.  Info: 3102070719 4726816 3192338176,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-2-habitaciones-2-banos-2-garajes/851-M1374223,62.8
"Apartamento en Arriendo, CHICO Bogotá D.C..",$4.700.000,2,2,90.0 m2,Hermoso apartamento amoblado de area 90 m2 + 4 m2 de balcon. El canon de arrendamiento incluye la administracion.  Info: 3102070719 4726816 3192338176,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-2-banos-2-garajes/851-M1374236,76.2
"Apartamento en Venta Y Arriendo, CHICO NORTE II Bogotá D.C..",$3.600.000,2,2,85.0 m2,Hermoso apartamento totalmente amoblado. Precio en venta incluye muebles. Con deposito y zona de lavanderia independiente.  Info: 3102070719 ,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-ii-2-habitaciones-2-banos-2-garajes/851-M1371218,47.4
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$3.250.000,2,2,100.0 m2,"Lindo apto en el Sector de Chico Reservado, totalmente amoblado, cada habitación con baño privado. Citas con Myrian Romero: 311-2645536.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-2-habitaciones-2-banos-2-garajes/851-M1363245,61.2
"Apartamento en Arriendo, LA ESPERANZA NORTE Bogotá D.C..",$1.850.000,2,2,80.0 m2,"Apartamento de dos alcobas, dos baños, estudio, sala comedor con balcón, cocina integral a gas, zona de ropas, calentador a gas,  un garaje y un depósito. Pisos en madera laminada y alcobas en alfombra. Conjunto con vigilancia, parq de visitantes, salones comunales, gimnasio, piscina, jacuzzi, parque infantil, zonas verdes.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-esperanza-norte-2-habitaciones-2-banos-1-garajes/465-643747,59.8
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$3.700.000,2,2,70.0 m2,"Espectacular apto en el exclusivo sector de Chico Reservado, Moderno,  Amoblado, cerca a Parque. Citas Myrian.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-2-habitaciones-2-banos-2-garajes/851-M1354355,73.8
"Apartamento en Arriendo, CAMPO ALEGRE Bogotá D.C..",$2.900.000,2,2,90.0 m2,"Lindo apto Amoblado, cerca al Centro Comercial Hacienda Santa barbara, calle 116 con 11, excelentes vías de acceso, exterior. Citas con Myrian Romero: 311-2645536.",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-campo-alegre-2-habitaciones-2-banos-2-garajes/851-M1335735,53.2
"Apartamento en Arriendo, CHICO Bogotá D.C..",$4.000.000,2,3,85.0 m2,"Hermoso apartamento con excelentes acabados, chimenea y terraza de  mts.  Citas 310 207 0719 4726816",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-3-banos-2-garajes/851-M1321689,77.1
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",$2.590.000,2,3,90.0 m2,Amoblado disponible por temporadas ref FERNANDA,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-2-habitaciones-3-banos-1-garajes/3208-770739,43.3
"Apartamento en Arriendo, QUINTA PAREDES Bogotá D.C..",$3.000.000,2,2,70.0 m2,"Apartamento amoblado, acabados y mobiliario excelente, incluye administración y todos los servicios públicos, cerca Aeropuerto, Embajada USA, Centros Comerciales, vìas av. El Dorado, Av. la esperanza, Cra 30, Cra 50, Corferias. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-quinta-paredes-2-habitaciones-2-banos-1-garajes/MC600896,59.1
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$4.170.000,2,2,88.0 m2,"Hermoso, con estudio, chimenea, balcón, puerta de seguridad, gimnasio, squash, sala de negocios, con vista a los cerros. SIN AMOBLAR 4.000.000. Info: 3102070719 47268116 3192338176",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-2-banos-2-garajes/851-M1286618,62.6
"Apartamento en Arriendo, CHICO NORTE Bogotá D.C..",$4.500.000,2,2,87.0 m2,"Hermoso apartamento amoblado todo incluido ( servicio de agua, luz, gas, teléfono y televisión).   Info: 3102070719 4726816 3192338176",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-2-banos-2-garajes/851-M1247313,61.0
"Apartamento en Arriendo, CHICO Bogotá D.C..",$4.200.000,2,3,85.0 m2,"Lindo apartamento Amoblado en el sector exclusivo de Chico Virrey, muy cerca a Parques, Centros comerciales, supermercados, gimnasios, citas con Myrian Romero: 311-2645536",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-3-banos-2-garajes/851-M1023396,52.8
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$3.400.000,2,2,84.0 m2,"Espectacular apartamento del arquitecto Gabriel Cure, exterior, linda vista, balcón, jacuzzi, moderno, estudio o segunda alcoba.Citas: Rafael Romero 3102070719-6793372",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-2-habitaciones-2-banos-2-garajes/851-M937481,64.5
"Apartamento en Arriendo, CHICO NORTE II Bogotá D.C..",$4.900.000,2,2,108.0 m2,"APARTAMENTO EN ARRIENDO EN CHICO RESERVADO, AMOBLADO, 2 ALCOBAS, 2 BAÑOS, HALL DE ALCOBAS, SALA-COMEDOR, COCINA SEMI ABIERTA, ZONA DE LAVANDERIA, PUERTA DE SEGURIDAD, 2 PARQUEADEROS INDEPENDIENTES, DEPOSITO, EL EDIFICIO CUENTA CON PARQUEO PARA VISITANTES, SALON COMUNAL, GIMNASIO, TERRAZA BBQ, MUY BONITO Y AGRADABLE. EXCELENTE UBICACIÓN. EXCELENTES ACABADOS.  ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-ii-2-habitaciones-2-banos-2-garajes/674-M2410987,52.0
"Apartamento en Arriendo, SANTA BIBIANA Bogotá D.C..",$5.500.000,2,3,140.0 m2,"Lindisimo apartamento amoblado por su propietaria para vivir en el. Consta de alcoba principal con baño y vestier, segunda alcoba amplia con baño, estudio, cocina semi abierta, zona de lavanderia , baño social, sala comedor, terraza cubierta y bbq. Dos garajes independientes y deposito. El edificio tiene gimnasio, sauna y salon social. El costo del arriendo incluye la adm. Es amoblado",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-2-habitaciones-3-banos-2-garajes/717-M2410110,75.2
"Apartamento en Arriendo, SANTA BIBIANA Bogotá D.C..",$5.500.000,2,3,140.0 m2,"Lindisimo apartamento amoblado por su propietaria para vivir en el. Consta de alcoba principal con baño y vestier, segunda alcoba amplia con baño, estudio, cocina semiabierta, zona de lavanderia , baño social, sala comedor, terraza cubierta y BBQ. Dos garajes independientes y deposito. El edificio tiene gimnasio, sauna y salon social. ",https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-2-habitaciones-3-banos-2-garajes/MC2409287,51.6
"Apartamento en Arriendo, CHICO Bogotá D.C..",$8.100.000,2,2,130.0 m2,Precioso apartamento de 130 metros. Ubicado en una de las zonas mas exclusivas de la ciudad. Diseños modernos acabados de lujo. Linda vista. Amplios y comodos espacios. Sala comedor Bbq  dentro del apartamento. Dos habitaciones acda una con su balcon. Dos baños. Dos garajes lindas zonas sociales. Comuniquese con nosotros. Conozca mas detalles. 	,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-2-banos-2-garajes/462-M2408897,71.5
"Apartamento en Venta Y Arriendo, LA PORCIUNCULA Bogotá D.C..",$5.500.000,2,2,105.0 m2,"Hermoso apartamento iluminado con terraza amplia, totalmente amoblado y dotado, de 2 habitaciones , 2 baños, sala comedor.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-porciuncula-2-habitaciones-2-banos-2-garajes/10091-M2408199,73.8
